job_id,tier_name,matrix_csv,trace_name,trace_clk_mhz,simconfig,start_id,end_id
0,tier_ddr3,tier_ddr3_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
3,tier_ddr4,tier_ddr4_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
6,tier_hbm2,tier_hbm2_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
9,tier_lpddr4,tier_lpddr4_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
12,tier_mram,tier_mram_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
15,tier_wideio,tier_wideio_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
18,tier_wideio2,tier_wideio2_valid_configs_matrix.csv,ai_cpu_trace.stl,1000,example.json,0,
